file,task,acc,acc-amb,acc-unk-tok,All support,amb-tar-support,Unk-toks-support
./models/greek-pos-pos-2021_02_07-10_03_16.tar,pos,0.924,0.8729,0.8695,71235,35335,4990
./models/greek-pos-pos-2021_02_06-05_45_39.tar,pos,0.9243,0.876,0.8667,71235,35335,4990
./models/greek-pos-pos-2021_02_08-13_46_29.tar,pos,0.925,0.8751,0.8729,71235,35335,4990
./models/greek-pos-pos-2021_02_10-19_36_43.tar,pos,0.925,0.874,0.8737,71235,35335,4990
./models/greek-pos-pos-2021_02_09-16_12_14.tar,pos,0.9287,0.8805,0.8898,71235,35335,4990
./models/greek-gend-gend-2021_02_07-22_05_09.tar,gend,0.941,0.8223,0.818,71235,15473,4990
./models/greek-gend-gend-2021_02_06-18_31_10.tar,gend,0.9427,0.8278,0.8166,71235,15473,4990
./models/greek-gend-gend-2021_02_10-05_24_38.tar,gend,0.9433,0.8279,0.822,71235,15473,4990
./models/greek-gend-gend-2021_02_09-02_07_49.tar,gend,0.9434,0.8278,0.8261,71235,15473,4990
./models/greek-gend-gend-2021_02_05-17_18_12.tar,gend,0.9436,0.8296,0.814,71235,15473,4990
./models/greek-lemma-lemma-2021_02_05-19_29_04.tar,lemma,0.9462,0.9034,0.7764,71235,23156,4990
./models/greek-lemma-lemma-2021_02_08-01_13_36.tar,lemma,0.9486,0.9008,0.7888,71235,23156,4990
./models/greek-lemma-lemma-2021_02_10-08_39_08.tar,lemma,0.9494,0.8998,0.808,71235,23156,4990
./models/greek-lemma-lemma-2021_02_06-22_32_39.tar,lemma,0.953,0.9045,0.8321,71235,23156,4990
./models/greek-lemma-lemma-2021_02_09-05_44_29.tar,lemma,0.954,0.9097,0.824,71235,23156,4990
./models/greek-case-case-2021_02_08-22_14_02.tar,case,0.9599,0.8861,0.8609,71235,15022,4990
./models/greek-case-case-2021_02_10-00_20_56.tar,case,0.9604,0.8871,0.8754,71235,15022,4990
./models/greek-case-case-2021_02_06-14_29_13.tar,case,0.9605,0.8861,0.8691,71235,15022,4990
./models/greek-case-case-2021_02_07-17_48_43.tar,case,0.961,0.889,0.8641,71235,15022,4990
./models/greek-case-case-2021_02_05-12_26_05.tar,case,0.9612,0.8854,0.88,71235,15022,4990
./models/greek-num-num-2021_02_09-10_55_08.tar,num,0.9825,0.9568,0.9082,71235,13878,4990
./models/greek-num-num-2021_02_07-04_05_22.tar,num,0.9828,0.9598,0.905,71235,13878,4990
./models/greek-num-num-2021_02_10-14_11_59.tar,num,0.983,0.9602,0.9072,71235,13878,4990
./models/greek-num-num-2021_02_06-01_00_21.tar,num,0.9835,0.9575,0.9174,71235,13878,4990
./models/greek-num-num-2021_02_08-06_35_21.tar,num,0.9841,0.9589,0.9196,71235,13878,4990
./models/greek-pers-pers-2021_02_06-03_19_11.tar,pers,0.9853,0.9192,0.9192,71235,5852,4990
./models/greek-pers-pers-2021_02_07-07_00_12.tar,pers,0.9857,0.9123,0.919,71235,5852,4990
./models/greek-pers-pers-2021_02_08-09_52_45.tar,pers,0.9859,0.9108,0.9234,71235,5852,4990
./models/greek-pers-pers-2021_02_09-13_32_54.tar,pers,0.986,0.9193,0.92,71235,5852,4990
./models/greek-pers-pers-2021_02_10-16_41_31.tar,pers,0.9864,0.9219,0.9226,71235,5852,4990
./models/greek-mood-mood-2021_02_07-01_11_13.tar,mood,0.9902,0.9567,0.922,71235,4067,4990
./models/greek-voice-voice-2021_02_06-11_35_29.tar,voice,0.9902,0.9587,0.9118,71235,4063,4990
./models/greek-mood-mood-2021_02_08-03_36_13.tar,mood,0.9904,0.9565,0.9238,71235,4067,4990
./models/greek-tense-tense-2021_02_07-12_36_40.tar,tense,0.9906,0.9517,0.9224,71235,4225,4990
./models/greek-mood-mood-2021_02_09-08_31_09.tar,mood,0.9907,0.9594,0.9214,71235,4067,4990
./models/greek-mood-mood-2021_02_10-11_33_45.tar,mood,0.9907,0.9604,0.9214,71235,4067,4990
./models/greek-voice-voice-2021_02_07-14_59_26.tar,voice,0.9907,0.9569,0.9216,71235,4063,4990
./models/greek-tense-tense-2021_02_09-19_15_45.tar,tense,0.9909,0.9536,0.9218,71235,4225,4990
./models/greek-tense-tense-2021_02_08-16_28_56.tar,tense,0.991,0.9531,0.9242,71235,4225,4990
./models/greek-voice-voice-2021_02_08-19_07_18.tar,voice,0.9912,0.9609,0.9244,71235,4063,4990
./models/greek-voice-voice-2021_02_11-01_16_47.tar,voice,0.9912,0.9599,0.9194,71235,4063,4990
./models/greek-mood-mood-2021_02_05-22_16_13.tar,mood,0.9913,0.957,0.9303,71235,4067,4990
./models/greek-tense-tense-2021_02_06-08_57_30.tar,tense,0.9914,0.9569,0.9283,71235,4225,4990
./models/greek-voice-voice-2021_02_09-21_53_09.tar,voice,0.9915,0.9606,0.9251,71235,4063,4990
./models/greek-tense-tense-2021_02_10-22_22_12.tar,tense,0.9917,0.9588,0.9299,71235,4225,4990
./models/greek-degree-degree-2021_02_08-23_28_25.tar,degree,0.9919,0.9575,0.9884,71235,10200,4990
./models/greek-degree-degree-2021_02_06-15_37_54.tar,degree,0.992,0.9584,0.9892,71235,10200,4990
./models/greek-degree-degree-2021_02_07-19_18_55.tar,degree,0.9923,0.9582,0.9908,71235,10200,4990
./models/greek-degree-degree-2021_02_10-02_26_24.tar,degree,0.9925,0.9593,0.991,71235,10200,4990
./models/greek-degree-degree-2021_02_05-14_17_25.tar,degree,0.9926,0.9596,0.9908,71235,10200,4990
